[0.000000] (-) TimerEvent: {}
[0.000391] (-) JobUnselected: {'identifier': 'ackermann_msgs'}
[0.000512] (-) JobUnselected: {'identifier': 'ar_track_alvar'}
[0.000610] (-) JobUnselected: {'identifier': 'ar_track_alvar_msgs'}
[0.000693] (-) JobUnselected: {'identifier': 'astra_camera'}
[0.000774] (-) JobUnselected: {'identifier': 'astra_camera_msgs'}
[0.000853] (-) JobUnselected: {'identifier': 'costmap_queue'}
[0.000933] (-) JobUnselected: {'identifier': 'dwb_core'}
[0.001011] (-) JobUnselected: {'identifier': 'dwb_critics'}
[0.001190] (-) JobUnselected: {'identifier': 'dwb_msgs'}
[0.009691] (-) JobUnselected: {'identifier': 'dwb_plugins'}
[0.009843] (-) JobUnselected: {'identifier': 'ldlidar_sl_ros2'}
[0.012980] (-) JobUnselected: {'identifier': 'ldlidar_stl_ros2'}
[0.013333] (-) JobUnselected: {'identifier': 'lidar_ros2'}
[0.013468] (-) JobUnselected: {'identifier': 'lslidar_msgs'}
[0.013569] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.016302] (-) JobUnselected: {'identifier': 'nav2_behavior_tree'}
[0.016579] (-) JobUnselected: {'identifier': 'nav2_bringup'}
[0.016679] (-) JobUnselected: {'identifier': 'nav2_bt_navigator'}
[0.016761] (-) JobUnselected: {'identifier': 'nav2_common'}
[0.016846] (-) JobUnselected: {'identifier': 'nav2_controller'}
[0.017466] (-) JobUnselected: {'identifier': 'nav2_core'}
[0.017573] (-) JobUnselected: {'identifier': 'nav2_costmap_2d'}
[0.022113] (-) JobUnselected: {'identifier': 'nav2_dwb_controller'}
[0.022325] (-) JobUnselected: {'identifier': 'nav2_gazebo_spawner'}
[0.022456] (-) JobUnselected: {'identifier': 'nav2_lifecycle_manager'}
[0.022580] (-) JobUnselected: {'identifier': 'nav2_map_server'}
[0.022700] (-) JobUnselected: {'identifier': 'nav2_msgs'}
[0.022820] (-) JobUnselected: {'identifier': 'nav2_navfn_planner'}
[0.022939] (-) JobUnselected: {'identifier': 'nav2_planner'}
[0.023055] (-) JobUnselected: {'identifier': 'nav2_recoveries'}
[0.023172] (-) JobUnselected: {'identifier': 'nav2_regulated_pure_pursuit_controller'}
[0.023290] (-) JobUnselected: {'identifier': 'nav2_rotation_shim_controller'}
[0.023407] (-) JobUnselected: {'identifier': 'nav2_rviz_plugins'}
[0.023523] (-) JobUnselected: {'identifier': 'nav2_simple_commander'}
[0.023639] (-) JobUnselected: {'identifier': 'nav2_smac_planner'}
[0.023753] (-) JobUnselected: {'identifier': 'nav2_system_tests'}
[0.023869] (-) JobUnselected: {'identifier': 'nav2_theta_star_planner'}
[0.023984] (-) JobUnselected: {'identifier': 'nav2_util'}
[0.024100] (-) JobUnselected: {'identifier': 'nav2_voxel_grid'}
[0.024186] (-) JobUnselected: {'identifier': 'nav2_waypoint_follower'}
[0.024307] (-) JobUnselected: {'identifier': 'nav_2d_msgs'}
[0.024427] (-) JobUnselected: {'identifier': 'nav_2d_utils'}
[0.024546] (-) JobUnselected: {'identifier': 'navigation2'}
[0.024664] (-) JobUnselected: {'identifier': 'openslam_gmapping'}
[0.024782] (-) JobUnselected: {'identifier': 'pcl_conversions'}
[0.024883] (-) JobUnselected: {'identifier': 'pcl_ros'}
[0.024991] (-) JobUnselected: {'identifier': 'perception_pcl'}
[0.025088] (-) JobUnselected: {'identifier': 'rplidar_ros2'}
[0.025184] (-) JobUnselected: {'identifier': 'serial'}
[0.025449] (-) JobUnselected: {'identifier': 'simple_follower_ros2'}
[0.025567] (-) JobUnselected: {'identifier': 'slam_gmapping'}
[0.025649] (-) JobUnselected: {'identifier': 'tf2_tools'}
[0.025734] (-) JobUnselected: {'identifier': 'turn_on_wheeltec_robot'}
[0.025817] (-) JobUnselected: {'identifier': 'usb_cam'}
[0.025896] (-) JobUnselected: {'identifier': 'web_video_server'}
[0.025978] (-) JobUnselected: {'identifier': 'wheeltec_cartographer'}
[0.026190] (-) JobUnselected: {'identifier': 'wheeltec_joy'}
[0.026325] (-) JobUnselected: {'identifier': 'wheeltec_nav2'}
[0.026491] (-) JobUnselected: {'identifier': 'wheeltec_robot_keyboard'}
[0.026600] (-) JobUnselected: {'identifier': 'wheeltec_robot_msg'}
[0.026693] (-) JobUnselected: {'identifier': 'wheeltec_robot_rrt'}
[0.026781] (-) JobUnselected: {'identifier': 'wheeltec_robot_rtab'}
[0.026909] (-) JobUnselected: {'identifier': 'wheeltec_robot_urdf'}
[0.027044] (-) JobUnselected: {'identifier': 'wheeltec_rrt_msg'}
[0.027197] (-) JobUnselected: {'identifier': 'wheeltec_slam_toolbox'}
[0.027539] (lslidar_driver) JobQueued: {'identifier': 'lslidar_driver', 'dependencies': OrderedDict([('lslidar_msgs', '/home/wheeltec/wheeltec_ros2/install/lslidar_msgs'), ('pcl_conversions', '/home/wheeltec/wheeltec_ros2/install/pcl_conversions')])}
[0.027696] (lslidar_driver) JobStarted: {'identifier': 'lslidar_driver'}
[0.098782] (-) TimerEvent: {}
[0.148073] (lslidar_driver) JobEnded: {'identifier': 'lslidar_driver', 'rc': 1}
[0.159163] (-) EventReactorShutdown: {}
