[0.000000] (-) TimerEvent: {}
[0.000378] (-) JobUnselected: {'identifier': 'ackermann_msgs'}
[0.000567] (-) JobUnselected: {'identifier': 'ar_track_alvar'}
[0.000707] (-) JobUnselected: {'identifier': 'ar_track_alvar_msgs'}
[0.000803] (-) JobUnselected: {'identifier': 'astra_camera'}
[0.000886] (-) JobUnselected: {'identifier': 'astra_camera_msgs'}
[0.000970] (-) JobUnselected: {'identifier': 'costmap_queue'}
[0.001050] (-) JobUnselected: {'identifier': 'dwb_core'}
[0.002217] (-) JobUnselected: {'identifier': 'dwb_critics'}
[0.002342] (-) JobUnselected: {'identifier': 'dwb_msgs'}
[0.002428] (-) JobUnselected: {'identifier': 'dwb_plugins'}
[0.002532] (-) JobUnselected: {'identifier': 'ldlidar_sl_ros2'}
[0.002725] (-) JobUnselected: {'identifier': 'ldlidar_stl_ros2'}
[0.002913] (-) JobUnselected: {'identifier': 'lidar_ros2'}
[0.003134] (-) JobUnselected: {'identifier': 'lslidar_driver'}
[0.003250] (-) JobUnselected: {'identifier': 'lslidar_msgs'}
[0.003326] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.003398] (-) JobUnselected: {'identifier': 'nav2_behavior_tree'}
[0.003472] (-) JobUnselected: {'identifier': 'nav2_bringup'}
[0.003543] (-) JobUnselected: {'identifier': 'nav2_bt_navigator'}
[0.003618] (-) JobUnselected: {'identifier': 'nav2_common'}
[0.003691] (-) JobUnselected: {'identifier': 'nav2_controller'}
[0.003762] (-) JobUnselected: {'identifier': 'nav2_core'}
[0.003833] (-) JobUnselected: {'identifier': 'nav2_costmap_2d'}
[0.003903] (-) JobUnselected: {'identifier': 'nav2_dwb_controller'}
[0.003974] (-) JobUnselected: {'identifier': 'nav2_gazebo_spawner'}
[0.004045] (-) JobUnselected: {'identifier': 'nav2_lifecycle_manager'}
[0.004119] (-) JobUnselected: {'identifier': 'nav2_map_server'}
[0.004189] (-) JobUnselected: {'identifier': 'nav2_msgs'}
[0.004261] (-) JobUnselected: {'identifier': 'nav2_navfn_planner'}
[0.004331] (-) JobUnselected: {'identifier': 'nav2_planner'}
[0.004403] (-) JobUnselected: {'identifier': 'nav2_recoveries'}
[0.004475] (-) JobUnselected: {'identifier': 'nav2_regulated_pure_pursuit_controller'}
[0.004667] (-) JobUnselected: {'identifier': 'nav2_rotation_shim_controller'}
[0.004753] (-) JobUnselected: {'identifier': 'nav2_rviz_plugins'}
[0.004822] (-) JobUnselected: {'identifier': 'nav2_simple_commander'}
[0.004891] (-) JobUnselected: {'identifier': 'nav2_smac_planner'}
[0.004960] (-) JobUnselected: {'identifier': 'nav2_system_tests'}
[0.005031] (-) JobUnselected: {'identifier': 'nav2_theta_star_planner'}
[0.005102] (-) JobUnselected: {'identifier': 'nav2_util'}
[0.005174] (-) JobUnselected: {'identifier': 'nav2_voxel_grid'}
[0.005247] (-) JobUnselected: {'identifier': 'nav2_waypoint_follower'}
[0.005321] (-) JobUnselected: {'identifier': 'nav_2d_msgs'}
[0.005397] (-) JobUnselected: {'identifier': 'nav_2d_utils'}
[0.005470] (-) JobUnselected: {'identifier': 'navigation2'}
[0.005545] (-) JobUnselected: {'identifier': 'openslam_gmapping'}
[0.005619] (-) JobUnselected: {'identifier': 'pcl_conversions'}
[0.005694] (-) JobUnselected: {'identifier': 'pcl_ros'}
[0.005770] (-) JobUnselected: {'identifier': 'perception_pcl'}
[0.005847] (-) JobUnselected: {'identifier': 'rplidar_ros2'}
[0.005922] (-) JobUnselected: {'identifier': 'serial'}
[0.005997] (-) JobUnselected: {'identifier': 'simple_follower_ros2'}
[0.006074] (-) JobUnselected: {'identifier': 'slam_gmapping'}
[0.006149] (-) JobUnselected: {'identifier': 'tf2_tools'}
[0.006224] (-) JobUnselected: {'identifier': 'turn_on_wheeltec_robot'}
[0.006301] (-) JobUnselected: {'identifier': 'usb_cam'}
[0.006376] (-) JobUnselected: {'identifier': 'web_video_server'}
[0.006451] (-) JobUnselected: {'identifier': 'wheeltec_cartographer'}
[0.006526] (-) JobUnselected: {'identifier': 'wheeltec_joy'}
[0.006603] (-) JobUnselected: {'identifier': 'wheeltec_nav2'}
[0.006678] (-) JobUnselected: {'identifier': 'wheeltec_robot_keyboard'}
[0.006755] (-) JobUnselected: {'identifier': 'wheeltec_robot_msg'}
[0.006831] (-) JobUnselected: {'identifier': 'wheeltec_robot_rrt'}
[0.006906] (-) JobUnselected: {'identifier': 'wheeltec_robot_rtab'}
[0.006982] (-) JobUnselected: {'identifier': 'wheeltec_robot_urdf'}
[0.007084] (-) JobUnselected: {'identifier': 'wheeltec_rrt_msg'}
[0.007160] (-) JobUnselected: {'identifier': 'wheeltec_slam_toolbox'}
[0.007238] (-) EventReactorShutdown: {}
