[0.000000] (-) TimerEvent: {}
[0.000901] (-) JobUnselected: {'identifier': 'ackermann_msgs'}
[0.001052] (-) JobUnselected: {'identifier': 'ar_track_alvar'}
[0.001158] (-) JobUnselected: {'identifier': 'ar_track_alvar_msgs'}
[0.001263] (-) JobUnselected: {'identifier': 'astra_camera'}
[0.001371] (-) JobUnselected: {'identifier': 'astra_camera_msgs'}
[0.001475] (-) JobUnselected: {'identifier': 'costmap_queue'}
[0.001651] (-) JobUnselected: {'identifier': 'dwb_core'}
[0.001727] (-) JobUnselected: {'identifier': 'dwb_critics'}
[0.001792] (-) JobUnselected: {'identifier': 'dwb_msgs'}
[0.001856] (-) JobUnselected: {'identifier': 'dwb_plugins'}
[0.001920] (-) JobUnselected: {'identifier': 'ldlidar_sl_ros2'}
[0.001985] (-) JobUnselected: {'identifier': 'ldlidar_stl_ros2'}
[0.002052] (-) JobUnselected: {'identifier': 'lidar_ros2'}
[0.002120] (-) JobUnselected: {'identifier': 'lslidar_driver'}
[0.002191] (-) JobUnselected: {'identifier': 'lslidar_msgs'}
[0.002262] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.002331] (-) JobUnselected: {'identifier': 'nav2_behavior_tree'}
[0.002401] (-) JobUnselected: {'identifier': 'nav2_bringup'}
[0.002472] (-) JobUnselected: {'identifier': 'nav2_bt_navigator'}
[0.002545] (-) JobUnselected: {'identifier': 'nav2_common'}
[0.002614] (-) JobUnselected: {'identifier': 'nav2_controller'}
[0.002683] (-) JobUnselected: {'identifier': 'nav2_core'}
[0.002754] (-) JobUnselected: {'identifier': 'nav2_costmap_2d'}
[0.002827] (-) JobUnselected: {'identifier': 'nav2_dwb_controller'}
[0.002897] (-) JobUnselected: {'identifier': 'nav2_gazebo_spawner'}
[0.002969] (-) JobUnselected: {'identifier': 'nav2_lifecycle_manager'}
[0.003040] (-) JobUnselected: {'identifier': 'nav2_map_server'}
[0.003111] (-) JobUnselected: {'identifier': 'nav2_msgs'}
[0.003182] (-) JobUnselected: {'identifier': 'nav2_navfn_planner'}
[0.003253] (-) JobUnselected: {'identifier': 'nav2_planner'}
[0.003323] (-) JobUnselected: {'identifier': 'nav2_recoveries'}
[0.003392] (-) JobUnselected: {'identifier': 'nav2_regulated_pure_pursuit_controller'}
[0.003462] (-) JobUnselected: {'identifier': 'nav2_rotation_shim_controller'}
[0.003534] (-) JobUnselected: {'identifier': 'nav2_rviz_plugins'}
[0.003606] (-) JobUnselected: {'identifier': 'nav2_simple_commander'}
[0.003677] (-) JobUnselected: {'identifier': 'nav2_smac_planner'}
[0.003748] (-) JobUnselected: {'identifier': 'nav2_system_tests'}
[0.003820] (-) JobUnselected: {'identifier': 'nav2_theta_star_planner'}
[0.003891] (-) JobUnselected: {'identifier': 'nav2_util'}
[0.003963] (-) JobUnselected: {'identifier': 'nav2_voxel_grid'}
[0.004034] (-) JobUnselected: {'identifier': 'nav2_waypoint_follower'}
[0.004104] (-) JobUnselected: {'identifier': 'nav_2d_msgs'}
[0.004176] (-) JobUnselected: {'identifier': 'nav_2d_utils'}
[0.004247] (-) JobUnselected: {'identifier': 'navigation2'}
[0.004318] (-) JobUnselected: {'identifier': 'openslam_gmapping'}
[0.004389] (-) JobUnselected: {'identifier': 'pcl_conversions'}
[0.004459] (-) JobUnselected: {'identifier': 'pcl_ros'}
[0.004529] (-) JobUnselected: {'identifier': 'perception_pcl'}
[0.004598] (-) JobUnselected: {'identifier': 'rplidar_ros2'}
[0.004669] (-) JobUnselected: {'identifier': 'serial'}
[0.004739] (-) JobUnselected: {'identifier': 'simple_follower_ros2'}
[0.004810] (-) JobUnselected: {'identifier': 'slam_gmapping'}
[0.004886] (-) JobUnselected: {'identifier': 'tf2_tools'}
[0.004956] (-) JobUnselected: {'identifier': 'turn_on_wheeltec_robot'}
[0.005027] (-) JobUnselected: {'identifier': 'usb_cam'}
[0.005097] (-) JobUnselected: {'identifier': 'web_video_server'}
[0.005168] (-) JobUnselected: {'identifier': 'wheeltec_cartographer'}
[0.005237] (-) JobUnselected: {'identifier': 'wheeltec_joy'}
[0.005307] (-) JobUnselected: {'identifier': 'wheeltec_nav2'}
[0.005378] (-) JobUnselected: {'identifier': 'wheeltec_robot_keyboard'}
[0.005448] (-) JobUnselected: {'identifier': 'wheeltec_robot_msg'}
[0.005539] (-) JobUnselected: {'identifier': 'wheeltec_robot_rrt'}
[0.005617] (-) JobUnselected: {'identifier': 'wheeltec_robot_rtab'}
[0.005688] (-) JobUnselected: {'identifier': 'wheeltec_robot_urdf'}
[0.005794] (-) JobUnselected: {'identifier': 'wheeltec_rrt_msg'}
[0.005880] (-) JobUnselected: {'identifier': 'wheeltec_slam_toolbox'}
[0.005956] (-) EventReactorShutdown: {}
