[0.000000] (-) TimerEvent: {}
[0.000524] (-) JobUnselected: {'identifier': 'ackermann_msgs'}
[0.000643] (-) JobUnselected: {'identifier': 'ar_track_alvar'}
[0.000746] (-) JobUnselected: {'identifier': 'ar_track_alvar_msgs'}
[0.000827] (-) JobUnselected: {'identifier': 'astra_camera'}
[0.000902] (-) JobUnselected: {'identifier': 'astra_camera_msgs'}
[0.000978] (-) JobUnselected: {'identifier': 'costmap_queue'}
[0.001051] (-) JobUnselected: {'identifier': 'dwb_core'}
[0.001122] (-) JobUnselected: {'identifier': 'dwb_critics'}
[0.001193] (-) JobUnselected: {'identifier': 'dwb_msgs'}
[0.001266] (-) JobUnselected: {'identifier': 'dwb_plugins'}
[0.001337] (-) JobUnselected: {'identifier': 'ldlidar_sl_ros2'}
[0.001409] (-) JobUnselected: {'identifier': 'ldlidar_stl_ros2'}
[0.001481] (-) JobUnselected: {'identifier': 'lidar_ros2'}
[0.001553] (-) JobUnselected: {'identifier': 'lslidar_driver'}
[0.001625] (-) JobUnselected: {'identifier': 'lslidar_msgs'}
[0.001731] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.001816] (-) JobUnselected: {'identifier': 'nav2_behavior_tree'}
[0.001890] (-) JobUnselected: {'identifier': 'nav2_bringup'}
[0.001969] (-) JobUnselected: {'identifier': 'nav2_bt_navigator'}
[0.002051] (-) JobUnselected: {'identifier': 'nav2_common'}
[0.002125] (-) JobUnselected: {'identifier': 'nav2_controller'}
[0.002197] (-) JobUnselected: {'identifier': 'nav2_core'}
[0.002268] (-) JobUnselected: {'identifier': 'nav2_costmap_2d'}
[0.002340] (-) JobUnselected: {'identifier': 'nav2_dwb_controller'}
[0.002411] (-) JobUnselected: {'identifier': 'nav2_gazebo_spawner'}
[0.002483] (-) JobUnselected: {'identifier': 'nav2_lifecycle_manager'}
[0.002554] (-) JobUnselected: {'identifier': 'nav2_map_server'}
[0.002625] (-) JobUnselected: {'identifier': 'nav2_msgs'}
[0.002696] (-) JobUnselected: {'identifier': 'nav2_navfn_planner'}
[0.002766] (-) JobUnselected: {'identifier': 'nav2_planner'}
[0.002838] (-) JobUnselected: {'identifier': 'nav2_recoveries'}
[0.002908] (-) JobUnselected: {'identifier': 'nav2_regulated_pure_pursuit_controller'}
[0.002981] (-) JobUnselected: {'identifier': 'nav2_rotation_shim_controller'}
[0.003053] (-) JobUnselected: {'identifier': 'nav2_rviz_plugins'}
[0.003124] (-) JobUnselected: {'identifier': 'nav2_simple_commander'}
[0.003196] (-) JobUnselected: {'identifier': 'nav2_smac_planner'}
[0.003268] (-) JobUnselected: {'identifier': 'nav2_system_tests'}
[0.003339] (-) JobUnselected: {'identifier': 'nav2_theta_star_planner'}
[0.003412] (-) JobUnselected: {'identifier': 'nav2_util'}
[0.003482] (-) JobUnselected: {'identifier': 'nav2_voxel_grid'}
[0.003552] (-) JobUnselected: {'identifier': 'nav2_waypoint_follower'}
[0.003624] (-) JobUnselected: {'identifier': 'nav_2d_msgs'}
[0.003695] (-) JobUnselected: {'identifier': 'nav_2d_utils'}
[0.003767] (-) JobUnselected: {'identifier': 'navigation2'}
[0.003839] (-) JobUnselected: {'identifier': 'openslam_gmapping'}
[0.003909] (-) JobUnselected: {'identifier': 'pcl_conversions'}
[0.003981] (-) JobUnselected: {'identifier': 'pcl_ros'}
[0.004052] (-) JobUnselected: {'identifier': 'perception_pcl'}
[0.004124] (-) JobUnselected: {'identifier': 'rplidar_ros2'}
[0.004195] (-) JobUnselected: {'identifier': 'serial'}
[0.004267] (-) JobUnselected: {'identifier': 'simple_follower_ros2'}
[0.004337] (-) JobUnselected: {'identifier': 'slam_gmapping'}
[0.004410] (-) JobUnselected: {'identifier': 'tf2_tools'}
[0.004482] (-) JobUnselected: {'identifier': 'turn_on_wheeltec_robot'}
[0.004553] (-) JobUnselected: {'identifier': 'usb_cam'}
[0.004626] (-) JobUnselected: {'identifier': 'web_video_server'}
[0.004697] (-) JobUnselected: {'identifier': 'wheeltec_cartographer'}
[0.004768] (-) JobUnselected: {'identifier': 'wheeltec_joy'}
[0.004840] (-) JobUnselected: {'identifier': 'wheeltec_nav2'}
[0.004912] (-) JobUnselected: {'identifier': 'wheeltec_robot_keyboard'}
[0.004983] (-) JobUnselected: {'identifier': 'wheeltec_robot_msg'}
[0.005053] (-) JobUnselected: {'identifier': 'wheeltec_robot_rrt'}
[0.005125] (-) JobUnselected: {'identifier': 'wheeltec_robot_rtab'}
[0.005195] (-) JobUnselected: {'identifier': 'wheeltec_robot_urdf'}
[0.005291] (-) JobUnselected: {'identifier': 'wheeltec_rrt_msg'}
[0.005363] (-) JobUnselected: {'identifier': 'wheeltec_slam_toolbox'}
[0.005436] (-) EventReactorShutdown: {}
